"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"1","AL627309.1","ENSG00000238009",TRUE,1,FALSE,NA,NA,51.1884050204668
"2","AC114498.1","ENSG00000235146",FALSE,NA,FALSE,NA,NA,9.84434552390102
"3","AL669831.5","ENSG00000237491",TRUE,0.96875,FALSE,NA,NA,106.687295937604
"4","LINC00115","ENSG00000225880",FALSE,NA,FALSE,NA,NA,18.115698993286
"5","FAM41C","ENSG00000230368",FALSE,NA,FALSE,NA,NA,8.93164287147055
"6","AL645608.7","ENSG00000272438",FALSE,NA,FALSE,NA,NA,6.04825913502415
"7","SAMD11","ENSG00000187634",FALSE,NA,FALSE,NA,NA,17.6001624739232
"8","NOC2L","ENSG00000188976",TRUE,1,FALSE,NA,NA,48.8073727558867
"9","KLHL17","ENSG00000187961",FALSE,NA,FALSE,NA,NA,24.2226286829996
"10","AL645608.8","ENSG00000272512",FALSE,NA,FALSE,NA,NA,15.1942478570854
"11","HES4","ENSG00000188290",TRUE,1,FALSE,NA,NA,49.5394546394421
"12","ISG15","ENSG00000187608",FALSE,NA,FALSE,NA,NA,27.9448858039084
"13","AL645608.2","ENSG00000224969",FALSE,NA,FALSE,NA,NA,9.40501974406684
"14","AGRN","ENSG00000188157",TRUE,1,FALSE,NA,NA,54.2084001826066
"15","C1orf159","ENSG00000131591",TRUE,0.919182948490231,FALSE,NA,NA,91.6681840087968
"16","TTLL10","ENSG00000162571",FALSE,NA,FALSE,NA,NA,8.86012169976162
"17","TNFRSF18","ENSG00000186891",FALSE,NA,FALSE,NA,NA,7.04627096705795
"18","TNFRSF4","ENSG00000186827",FALSE,NA,FALSE,NA,NA,4.84411252138993
"19","SDF4","ENSG00000078808",TRUE,1,FALSE,NA,NA,63.6584014979068
"20","B3GALT6","ENSG00000176022",FALSE,NA,FALSE,NA,NA,22.7536818402904
"21","C1QTNF12","ENSG00000184163",FALSE,NA,FALSE,NA,NA,11.2299105082241
"22","UBE2J2","ENSG00000160087",TRUE,0.893939393939394,FALSE,NA,NA,67.5910512394855
"23","LINC01786","ENSG00000230415",FALSE,NA,FALSE,NA,NA,37.6948009197815
"24","SCNN1D","ENSG00000162572",FALSE,NA,FALSE,NA,NA,31.5250023576658
"25","ACAP3","ENSG00000131584",TRUE,1,FALSE,NA,NA,91.9630755434006
"26","PUSL1","ENSG00000169972",FALSE,NA,FALSE,NA,NA,18.5978030934349
"27","INTS11","ENSG00000127054",TRUE,0.96875,FALSE,NA,NA,68.6627065335553
"28","CPTP","ENSG00000224051",FALSE,NA,FALSE,NA,NA,21.6825731306861
"29","DVL1","ENSG00000107404",TRUE,0.984848484848485,FALSE,NA,NA,46.6624490147924
"30","MXRA8","ENSG00000162576",FALSE,NA,FALSE,NA,NA,14.9651657629496
"31","AURKAIP1","ENSG00000175756",TRUE,1,FALSE,NA,NA,35.9308382372345
"32","CCNL2","ENSG00000221978",TRUE,0.9375,FALSE,NA,NA,87.201706072142
"33","MRPL20","ENSG00000242485",TRUE,0.935483870967742,FALSE,NA,NA,53.5938572322222
"34","AL391244.3","ENSG00000272455",FALSE,NA,FALSE,NA,NA,19.1836659420172
"35","ANKRD65","ENSG00000235098",FALSE,NA,FALSE,NA,NA,24.1378353902719
"36","TMEM88B","ENSG00000205116",FALSE,NA,FALSE,NA,NA,11.0970425438078
"37","VWA1","ENSG00000179403",TRUE,1,FALSE,NA,NA,41.4287041852725
"38","ATAD3C","ENSG00000215915",TRUE,1,FALSE,NA,NA,23.4327503439511
